,season,total_votes,n_lines,n_directions,n_words,n_speak_char,andy,angela,darryl,dwight,erin,holly,jan,jim,kelly,kevin,meredith,michael,oscar,pam,phyllis,ryan,stanley,toby,andy_perc,angela_perc,darryl_perc,dwight_perc,erin_perc,holly_perc,jan_perc,jim_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,oscar_perc,pam_perc,phyllis_perc,ryan_perc,stanley_perc,toby_perc,multi_part,Alex Hardcastle_dummy,Amy Heckerling_dummy,Asaad Kelada_dummy,B.J. Novak_dummy,Brent Forrester_dummy,Brian Baumgartner_dummy,Bryan Cranston_dummy,Bryan Gordon_dummy,Charles McDougal_dummy,Charles McDougall_dummy,Charlie Grandy_dummy,Claire Scanlon_dummy,Claire Scanlong_dummy,Craig Zisk_dummy,Daniel Chun_dummy,Danny Leiner_dummy,David Rogers_dummy,Dean Holland_dummy,Dennie Gordon_dummy,Ed Helms_dummy,Eric Appel_dummy,Gene Stupnitsky_dummy,Greg Daneils_dummy,Greg Daniels_dummy,Harold Ramis_dummy,J.J. Abrams_dummy,Jason Reitman_dummy,Jeffrey Blitz_dummy,Jennifer Celotta_dummy,Jesse Peretz_dummy,John Krasinski_dummy,John Scott_dummy,Jon Favreau_dummy,Joss Whedon_dummy,Julian Farino_dummy,Kelly Cantley-Kashima_dummy,Ken Kwapis_dummy,Ken Whittingham_dummy,Ken Wittingham_dummy,Lee Eisenberg_dummy,Lee Kirk_dummy,Marc Webb_dummy,Matt Sohn_dummy,Michael Spiller_dummy,Miguel Arteta_dummy,Mindy Kaling_dummy,Paul Feig_dummy,Paul Lieberstein_dummy,Paul Lieerstein_dummy,Rainn Wilson_dummy,Randall Einhorn_dummy,Reginald Hudlin_dummy,Rodman Flender_dummy,Roger Nygard_dummy,Seth Gordon_dummy,Stephen Merchant_dummy,Steve Carell_dummy,Troy Miller_dummy,Tucker Gates_dummy,Victor Nelli Jr._dummy,Aaron Shure_dummy,Allison Silverman_dummy,Amelie Gillette_dummy,Anthony Q. Farrell_dummy,B.J. Novak_dummy,Brent Forrester_dummy,Caroline Williams_dummy,Carrie Kemper_dummy,Charlie Grandy_dummy,Dan Greaney_dummy,Dan Sterling_dummy,Daniel Chun_dummy,Gabe Miller_dummy,Gene Stupnitsky_dummy,Graham Wagner_dummy,Greg Daniels_dummy,Halsted Sullivan_dummy,Jason Kessler_dummy,Jennifer Celotta_dummy,Jon Vitti_dummy,Jonathan Green_dummy,Jonathan Huges_dummy,Justin Spitzer_dummy,Larry Willmore_dummy,Lee Eisenberg_dummy,Lester Lewis_dummy,Michael Schur_dummy,Mindy Kaling_dummy,Nicki Schwartz-Wright_dummy,Owen Ellickson_dummy,Paul Lieberstein_dummy,Peter Ocko_dummy,Ricky Gervais_dummy,Robert Padnick_dummy,Ryan Koh_dummy,Stephen Merchant_dummy,Steve Carell_dummy,Steve Hely_dummy,Tim McAuliffe_dummy,Warren Lieberstein_dummy,Andy_dummy,Angela_dummy,Creed_dummy,Darryl_dummy,Dwight_dummy,Erin_dummy,Jim_dummy,Kelly_dummy,Kevin_dummy,Meredith_dummy,Michael_dummy,Oscar_dummy,Pam_dummy,Phyllis_dummy,Ryan_dummy,Stanley_dummy,Toby_dummy
151,8,1478,329,44,3177,23,41.0,31.0,5.0,57.0,12.0,0.0,0.0,59.0,2.0,12.0,2.0,0.0,24.0,24.0,11.0,2.0,4.0,5.0,0.1553030303030303,0.11742424242424243,0.01893939393939394,0.2159090909090909,0.045454545454545456,0.0,0.0,0.22348484848484848,0.007575757575757576,0.045454545454545456,0.007575757575757576,0.0,0.09090909090909091,0.09090909090909091,0.041666666666666664,0.007575757575757576,0.015151515151515152,0.01893939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
155,8,1478,259,32,3164,29,28.0,9.0,4.0,53.0,10.0,0.0,0.0,28.0,9.0,8.0,3.0,0.0,6.0,10.0,2.0,17.0,1.0,18.0,0.10071942446043165,0.03237410071942446,0.014388489208633094,0.1906474820143885,0.03597122302158273,0.0,0.0,0.10071942446043165,0.03237410071942446,0.02877697841726619,0.01079136690647482,0.0,0.02158273381294964,0.03597122302158273,0.007194244604316547,0.06115107913669065,0.0035971223021582736,0.06474820143884892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
170,9,1438,322,42,2890,19,0.0,52.0,6.0,57.0,6.0,0.0,0.0,29.0,0.0,16.0,8.0,0.0,22.0,17.0,12.0,0.0,14.0,8.0,0.0,0.10379241516966067,0.011976047904191617,0.11377245508982035,0.011976047904191617,0.0,0.0,0.05788423153692615,0.0,0.031936127744510975,0.015968063872255488,0.0,0.043912175648702596,0.033932135728542916,0.023952095808383235,0.0,0.027944111776447105,0.015968063872255488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
63,4,1977,188,55,2256,20,13.0,4.0,6.0,10.0,0.0,0.0,0.0,19.0,1.0,7.0,1.0,45.0,5.0,33.0,2.0,0.0,0.0,0.0,0.04609929078014184,0.014184397163120567,0.02127659574468085,0.03546099290780142,0.0,0.0,0.0,0.0673758865248227,0.0035460992907801418,0.024822695035460994,0.0035460992907801418,0.1595744680851064,0.01773049645390071,0.11702127659574468,0.0070921985815602835,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
129,7,1736,352,50,2876,20,37.0,9.0,16.0,24.0,38.0,38.0,0.0,23.0,1.0,13.0,1.0,73.0,17.0,24.0,3.0,6.0,1.0,0.0,0.12937062937062938,0.03146853146853147,0.055944055944055944,0.08391608391608392,0.13286713286713286,0.13286713286713286,0.0,0.08041958041958042,0.0034965034965034965,0.045454545454545456,0.0034965034965034965,0.25524475524475526,0.05944055944055944,0.08391608391608392,0.01048951048951049,0.02097902097902098,0.0034965034965034965,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
77,5,5948,416,93,4855,26,23.0,16.0,6.0,73.0,0.0,0.0,0.0,35.0,3.0,8.0,3.0,118.0,11.0,32.0,11.0,0.0,28.0,0.0,0.06267029972752043,0.043596730245231606,0.01634877384196185,0.1989100817438692,0.0,0.0,0.0,0.09536784741144415,0.008174386920980926,0.021798365122615803,0.008174386920980926,0.3215258855585831,0.02997275204359673,0.08719346049046321,0.02997275204359673,0.0,0.07629427792915532,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
15,2,2755,283,42,2788,20,0.0,9.0,11.0,42.0,0.0,0.0,0.0,28.0,8.0,11.0,10.0,87.0,8.0,17.0,5.0,15.0,5.0,3.0,0.0,0.03180212014134275,0.038869257950530034,0.14840989399293286,0.0,0.0,0.0,0.0989399293286219,0.028268551236749116,0.038869257950530034,0.0353356890459364,0.30742049469964666,0.028268551236749116,0.06007067137809187,0.0176678445229682,0.053003533568904596,0.0176678445229682,0.01060070671378092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
117,7,1802,229,33,2334,17,49.0,16.0,11.0,17.0,19.0,0.0,0.0,19.0,2.0,0.0,1.0,43.0,1.0,17.0,4.0,0.0,2.0,0.0,0.16896551724137931,0.05517241379310345,0.03793103448275862,0.05862068965517241,0.06551724137931035,0.0,0.0,0.06551724137931035,0.006896551724137931,0.0,0.0034482758620689655,0.1482758620689655,0.0034482758620689655,0.05862068965517241,0.013793103448275862,0.0,0.006896551724137931,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
10,2,2561,269,40,2659,16,0.0,13.0,0.0,33.0,0.0,0.0,0.0,30.0,3.0,2.0,0.0,108.0,7.0,27.0,3.0,1.0,3.0,0.0,0.0,0.04924242424242424,0.0,0.125,0.0,0.0,0.0,0.11363636363636363,0.011363636363636364,0.007575757575757576,0.0,0.4090909090909091,0.026515151515151516,0.10227272727272728,0.011363636363636364,0.003787878787878788,0.011363636363636364,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
83,5,1864,267,37,2638,18,14.0,6.0,0.0,12.0,0.0,0.0,0.0,26.0,6.0,13.0,2.0,88.0,12.0,38.0,3.0,0.0,7.0,1.0,0.05343511450381679,0.022900763358778626,0.0,0.04580152671755725,0.0,0.0,0.0,0.09923664122137404,0.022900763358778626,0.04961832061068702,0.007633587786259542,0.33587786259541985,0.04580152671755725,0.1450381679389313,0.011450381679389313,0.0,0.026717557251908396,0.003816793893129771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
86,5,1913,276,46,2900,14,25.0,0.0,0.0,83.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,90.0,0.0,15.0,5.0,6.0,1.0,0.0,0.0992063492063492,0.0,0.0,0.32936507936507936,0.0,0.0,0.0,0.0873015873015873,0.003968253968253968,0.003968253968253968,0.0,0.35714285714285715,0.0,0.05952380952380952,0.01984126984126984,0.023809523809523808,0.003968253968253968,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0
163,9,1577,225,24,2638,23,33.0,16.0,3.0,42.0,4.0,0.0,0.0,21.0,2.0,7.0,2.0,0.0,9.0,19.0,1.0,1.0,3.0,11.0,0.14666666666666667,0.07111111111111111,0.013333333333333334,0.18666666666666668,0.017777777777777778,0.0,0.0,0.09333333333333334,0.008888888888888889,0.03111111111111111,0.008888888888888889,0.0,0.04,0.08444444444444445,0.0044444444444444444,0.0044444444444444444,0.013333333333333334,0.04888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
36,3,2373,191,23,2419,17,17.0,10.0,0.0,4.0,0.0,0.0,7.0,31.0,0.0,13.0,1.0,54.0,0.0,16.0,1.0,3.0,2.0,4.0,0.03346456692913386,0.01968503937007874,0.0,0.007874015748031496,0.0,0.0,0.013779527559055118,0.0610236220472441,0.0,0.025590551181102362,0.001968503937007874,0.1062992125984252,0.0,0.031496062992125984,0.001968503937007874,0.005905511811023622,0.003937007874015748,0.007874015748031496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1
4,1,3179,230,49,2437,18,0.0,3.0,15.0,25.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,104.0,2.0,14.0,4.0,8.0,3.0,0.0,0.0,0.013043478260869565,0.06521739130434782,0.10869565217391304,0.0,0.0,0.0,0.09130434782608696,0.0,0.004347826086956522,0.0,0.45217391304347826,0.008695652173913044,0.06086956521739131,0.017391304347826087,0.034782608695652174,0.013043478260869565,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0
85,5,2032,256,38,2623,17,18.0,0.0,0.0,28.0,16.0,0.0,0.0,28.0,5.0,2.0,1.0,46.0,5.0,45.0,1.0,25.0,3.0,3.0,0.0759493670886076,0.0,0.0,0.11814345991561181,0.06751054852320675,0.0,0.0,0.11814345991561181,0.02109704641350211,0.008438818565400843,0.004219409282700422,0.1940928270042194,0.02109704641350211,0.189873417721519,0.004219409282700422,0.10548523206751055,0.012658227848101266,0.012658227848101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
158,8,1489,307,60,3087,26,48.0,8.0,1.0,22.0,25.0,0.0,0.0,39.0,0.0,3.0,0.0,0.0,11.0,32.0,9.0,3.0,1.0,0.0,0.1458966565349544,0.0243161094224924,0.00303951367781155,0.0668693009118541,0.07598784194528875,0.0,0.0,0.11854103343465046,0.0,0.00911854103343465,0.0,0.0,0.03343465045592705,0.0972644376899696,0.02735562310030395,0.00911854103343465,0.00303951367781155,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
95,6,1829,353,41,3297,19,57.0,0.0,0.0,50.0,7.0,0.0,0.0,14.0,0.0,17.0,3.0,122.0,18.0,5.0,1.0,4.0,0.0,3.0,0.17378048780487804,0.0,0.0,0.1524390243902439,0.021341463414634148,0.0,0.0,0.042682926829268296,0.0,0.051829268292682924,0.009146341463414634,0.3719512195121951,0.054878048780487805,0.01524390243902439,0.003048780487804878,0.012195121951219513,0.0,0.009146341463414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
94,6,3579,552,83,5580,33,33.0,12.0,0.0,84.0,10.0,0.0,0.0,56.0,3.0,30.0,6.0,129.0,9.0,70.0,3.0,3.0,7.0,4.0,0.12359550561797752,0.0449438202247191,0.0,0.3146067415730337,0.03745318352059925,0.0,0.0,0.20973782771535582,0.011235955056179775,0.11235955056179775,0.02247191011235955,0.48314606741573035,0.033707865168539325,0.26217228464419473,0.011235955056179775,0.011235955056179775,0.026217228464419477,0.0149812734082397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
147,8,1553,278,49,2979,16,57.0,2.0,24.0,48.0,7.0,0.0,0.0,26.0,1.0,2.0,0.0,0.0,11.0,0.0,3.0,3.0,0.0,3.0,0.19322033898305085,0.006779661016949152,0.08135593220338982,0.16271186440677965,0.023728813559322035,0.0,0.0,0.08813559322033898,0.003389830508474576,0.006779661016949152,0.0,0.0,0.03728813559322034,0.0,0.010169491525423728,0.010169491525423728,0.0,0.010169491525423728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
184,9,2860,501,54,4965,30,44.0,39.0,30.0,87.0,22.0,0.0,0.0,89.0,0.0,30.0,9.0,0.0,28.0,34.0,7.0,0.0,4.0,0.0,0.16923076923076924,0.15,0.11538461538461539,0.3346153846153846,0.08461538461538462,0.0,0.0,0.3423076923076923,0.0,0.11538461538461539,0.03461538461538462,0.0,0.1076923076923077,0.13076923076923078,0.026923076923076925,0.0,0.015384615384615385,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
116,7,1684,268,19,2976,20,13.0,4.0,4.0,48.0,4.0,0.0,0.0,34.0,6.0,0.0,0.0,31.0,7.0,39.0,3.0,3.0,3.0,35.0,0.021739130434782608,0.006688963210702341,0.006688963210702341,0.0802675585284281,0.006688963210702341,0.0,0.0,0.056856187290969896,0.010033444816053512,0.0,0.0,0.051839464882943144,0.011705685618729096,0.06521739130434782,0.005016722408026756,0.005016722408026756,0.005016722408026756,0.05852842809364549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
